cry-3SG/2PL/OBL.SG/2PL.IMP	cry-2PL/2PL.IMP
laugh-3SG/2PL/OBL.SG/2PL.IMP	laugh-2PL/2PL.IMP
burn-3SG/2PL/OBL.SG/2PL.IMP	burn-2PL/2PL.IMP
call-3SG/2PL/OBL.SG/2PL.IMP	call-2PL/2PL.IMP
call/knock-3SG/2PL/OBL.SG/2PL.IMP	call/knock-2PL/2PL.IMP
send-3SG/2PL/OBL.SG/2PL.IMP	send-2PL/2PL.IMP
pull-3SG/2PL/OBL.SG/2PL.IMP	pull-2PL/2PL.IMP
push-3SG/2PL/OBL.SG/2PL.IMP	push-2PL/2PL.IMP
break-3SG/2PL/OBL.SG/2PL.IMP	break-2PL/2PL.IMP
there.is-PRES-SOC/COND/3PL	there.is-PRES-COND
do/make-1PL/NEG/OBL.PL/DEF	do/make-1PL
honor-COP/PROG	honor-COP
free-COP/PROG	free-COP
we-COP/COP-1PL-PRES	we-COP
strong/courageous/hard-GEN/M/OBL.SG	strong-M
good/beautiful-GEN/M/OBL.SG	good/beautiful-M
black-GEN/M/OBL.SG	black-M
blue-GEN/M/OBL.SG	blue-M
clean-GEN/M/OBL.SG	clean-M
cold-GEN/M/OBL.SG	cold-M
cold/thirsty-GEN/M/OBL.SG	cold/thirsty-M
crazy-GEN/M/OBL.SG	crazy-M
dark-GEN/M/OBL.SG	dark-M
dirty-GEN/M/OBL.SG	dirty-M
dry-GEN/M/OBL.SG	dry-M
early-GEN/M/OBL.SG	early-M
exceed/bad-GEN/M/OBL.SG	exceed/bad-M
fat-GEN/M/OBL.SG	fat-M
full-GEN/M/OBL.SG	full-M
gold-GEN/M/OBL.SG	gold-M
good-GEN/M/OBL.SG	good-M
good/clever-GEN/M/OBL.SG	good/clever-M
green-GEN/M/OBL.SG	green-M
happy-GEN/M/OBL.SG	happy-M
hard-GEN/M/OBL.SG	hard-M
high-GEN/M/OBL.SG	high-M
hot-GEN/M/OBL.SG	hot-M
kind-GEN/M/OBL.SG	kind-M
late-GEN/M/OBL.SG	late-M
light-GEN/M/OBL.SG	light-M
long-GEN/M/OBL.SG	long-M
low-GEN/M/OBL.SG	low-M
new-GEN/M/OBL.SG	new-M
new/now-GEN/M/OBL.SG	new-M
old-GEN/M/OBL.SG	old-M
old/big-GEN/M/OBL.SG	old/big-M
only/good-GEN/M/OBL.SG	good-M
poor-GEN/M/OBL.SG	poor-M
red-GEN/M/OBL.SG	red-M
rich-GEN/M/OBL.SG	rich-M
short-GEN/M/OBL.SG	short-M
small-GEN/M/OBL.SG	small-M
smooth-GEN/M/OBL.SG	smooth-M
sour-GEN/M/OBL.SG	sour-M
strong-GEN/M/OBL.SG	strong-M
sweet-GEN/M/OBL.SG	sweet-M
thin-GEN/M/OBL.SG	thin-M
tired-GEN/M/OBL.SG	tired-M
weak-GEN/M/OBL.SG	weak-M
wet-GEN/M/OBL.SG	wet-M
white-GEN/M/OBL.SG	white-M
wide-GEN/M/OBL.SG	wide-M
yellow-GEN/M/OBL.SG	yellow-M
turn.around/far-GEN/M/OBL.SG	far-M
young/brave/handsome-GEN/M/OBL.SG	young/brave/handsome-M
become.big/big-GEN/M/OBL.SG	big-M
strong/courageous/hard-F/3SG/2SG.PRES/2SG.IMP	strong/courageous/hard-F
good/beautiful-F/3SG/2SG.PRES/2SG.IMP	good/beautiful-F
black-F/3SG/2SG.PRES/2SG.IMP	black-F
blue-F/3SG/2SG.PRES/2SG.IMP	blue-F
clean-F/3SG/2SG.PRES/2SG.IMP	clean-F
cold-F/3SG/2SG.PRES/2SG.IMP	cold-F
cold/thirsty-F/3SG/2SG.PRES/2SG.IMP	cold/thirsty-F
crazy-F/3SG/2SG.PRES/2SG.IMP	crazy-F
dark-F/3SG/2SG.PRES/2SG.IMP	dark-F
dirty-F/3SG/2SG.PRES/2SG.IMP	dirty-F
dry-F/3SG/2SG.PRES/2SG.IMP	dry-F
early-F/3SG/2SG.PRES/2SG.IMP	early-F
exceed/bad-F/3SG/2SG.PRES/2SG.IMP	bad-F
fat-F/3SG/2SG.PRES/2SG.IMP	fat-F
full-F/3SG/2SG.PRES/2SG.IMP	full-F
gold-F/3SG/2SG.PRES/2SG.IMP	gold-F
good-F/3SG/2SG.PRES/2SG.IMP	good-F
good/clever-F/3SG/2SG.PRES/2SG.IMP	good/clever-F
green-F/3SG/2SG.PRES/2SG.IMP	green-F
happy-F/3SG/2SG.PRES/2SG.IMP	happy-F
hard-F/3SG/2SG.PRES/2SG.IMP	hard-F
high-F/3SG/2SG.PRES/2SG.IMP	high-F
hot-F/3SG/2SG.PRES/2SG.IMP	hot-F
kind-F/3SG/2SG.PRES/2SG.IMP	kind-F
late-F/3SG/2SG.PRES/2SG.IMP	late-F
light-F/3SG/2SG.PRES/2SG.IMP	light-F
long-F/3SG/2SG.PRES/2SG.IMP	long-F
low-F/3SG/2SG.PRES/2SG.IMP	low-F
new-F/3SG/2SG.PRES/2SG.IMP	new-F
new/now-F/3SG/2SG.PRES/2SG.IMP	new-F
old-F/3SG/2SG.PRES/2SG.IMP	old-F
old/big-F/3SG/2SG.PRES/2SG.IMP	old/big-F
only/good-F/3SG/2SG.PRES/2SG.IMP	good-F
poor-F/3SG/2SG.PRES/2SG.IMP	poor-F
red-F/3SG/2SG.PRES/2SG.IMP	red-F
rich-F/3SG/2SG.PRES/2SG.IMP	rich-F
short-F/3SG/2SG.PRES/2SG.IMP	short-F
small-F/3SG/2SG.PRES/2SG.IMP	small-F
smooth-F/3SG/2SG.PRES/2SG.IMP	smooth-F
sour-F/3SG/2SG.PRES/2SG.IMP	sour-F
strong-F/3SG/2SG.PRES/2SG.IMP	strong-F
sweet-F/3SG/2SG.PRES/2SG.IMP	sweet-F
thin-F/3SG/2SG.PRES/2SG.IMP	thin-F
tired-F/3SG/2SG.PRES/2SG.IMP	tired-F
weak-F/3SG/2SG.PRES/2SG.IMP	weak-F
wet-F/3SG/2SG.PRES/2SG.IMP	wet-F
white-F/3SG/2SG.PRES/2SG.IMP	white-F
wide-F/3SG/2SG.PRES/2SG.IMP	wode-F
yellow-F/3SG/2SG.PRES/2SG.IMP	yellow-F
young/brave/handsome-F/3SG/2SG.PRES/2SG.IMP	young/brave/handsome-F
become.big/big-F/3SG/2SG.PRES/2SG.IMP	big-F
turn.around/far-F/3SG/2SG.PRES/2SG.IMP	far-F
say/good-more	good-more
new/now-more	new-more
only/good-more	good-more
become.big/big-more	big-more
SG-1SG-PRES/2SG.PRES/PL	SG-1SG-PRES
SG-2SG-PRES/2SG.PRES/PL	SG-2SG-PRES
SG-3SG-PRES/2SG.PRES/PL	SG-3SG-PRES
SG-1PL-PRES/2SG.PRES/PL	SG-1PL-PRES
SG-2PL-PRES/2SG.PRES/PL	SG-2PL-PRES
SG-3PL-PRES/2SG.PRES/PL	SG-3PL-PRES
PL-1SG-PRES/2SG.PRES/PL	PL-1SG-PRES
PL-2SG-PRES/2SG.PRES/PL	PL-2SG-PRES
PL-3SG-PRES/2SG.PRES/PL	PL-3SG-PRES
PL-1PL-PRES/2SG.PRES/PL	PL-1PL-PRES
PL-2PL-PRES/2SG.PRES/PL	PL-2PL-PRES
PL-3PL-PRES/2SG.PRES/PL	PL-3PL-PRES
strong/courageous/hard-PRES/2SG.PRES/PL	strong-PRES
good/beautiful-PRES/2SG.PRES/PL	good/beautiful-PRES
black-PRES/2SG.PRES/PL	black-PRES
blue-PRES/2SG.PRES/PL	blue-PRES
clean-PRES/2SG.PRES/PL	clean-PRES
cold-PRES/2SG.PRES/PL	cold-PRES
cold/thirsty-PRES/2SG.PRES/PL	cold/thirsty-PRES
crazy-PRES/2SG.PRES/PL	crazy-PRES
dark-PRES/2SG.PRES/PL	dark-PRES
dirty-PRES/2SG.PRES/PL	dirty-PRES
dry-PRES/2SG.PRES/PL	dry-PRES
early-PRES/2SG.PRES/PL	early-PRES
exceed/bad-PRES/2SG.PRES/PL	exceed/bad-PRES
fat-PRES/2SG.PRES/PL	fat-PRES
full-PRES/2SG.PRES/PL	full-PRES
gold-PRES/2SG.PRES/PL	gold-PRES
good-PRES/2SG.PRES/PL	good-PRES
good/clever-PRES/2SG.PRES/PL	good/clever-PRES
green-PRES/2SG.PRES/PL	green-PRES
happy-PRES/2SG.PRES/PL	happy-PRES
hard-PRES/2SG.PRES/PL	hard-PRES
high-PRES/2SG.PRES/PL	high-PRES
hot-PRES/2SG.PRES/PL	hot-PRES
kind-PRES/2SG.PRES/PL	kind-PRES
late-PRES/2SG.PRES/PL	late-PRES
light-PRES/2SG.PRES/PL	light-PRES
long-PRES/2SG.PRES/PL	long-PRES
low-PRES/2SG.PRES/PL	low-PRES
new-PRES/2SG.PRES/PL	new-PRES
new/now-PRES/2SG.PRES/PL	new-PRES
old-PRES/2SG.PRES/PL	old-PRES
old/big-PRES/2SG.PRES/PL	old/big-PRES
only/good-PRES/2SG.PRES/PL	good-PRES
poor-PRES/2SG.PRES/PL	poor-PRES
red-PRES/2SG.PRES/PL	red-PRES
rich-PRES/2SG.PRES/PL	rich-PRES
short-PRES/2SG.PRES/PL	short-PRES
small-PRES/2SG.PRES/PL	small-PRES
smooth-PRES/2SG.PRES/PL	smooth-PRES
sour-PRES/2SG.PRES/PL	sour-PRES
strong-PRES/2SG.PRES/PL	strong-PRES
sweet-PRES/2SG.PRES/PL	sweet-PRES
thin-PRES/2SG.PRES/PL	thin-PRES
tired-PRES/2SG.PRES/PL	tired-PRES
weak-PRES/2SG.PRES/PL	weak-PRES
wet-PRES/2SG.PRES/PL	wet-PRES
white-PRES/2SG.PRES/PL	white-PRES
wide-PRES/2SG.PRES/PL	wide-PRES
yellow-PRES/2SG.PRES/PL	yellow-PRES
turn.around/far-PRES/2SG.PRES/PL	far-PRES
young/brave/handsome-PRES/2SG.PRES/PL	young/brave/handsome-PRES
become.big/big-PRES/2SG.PRES/PL	big-PRES
strong/courageous/hard-COP/PROG	strong-COP
good/beautiful-COP/PROG	good/beautiful-COP
black-COP/PROG	black-COP
blue-COP/PROG	blue-COP
clean-COP/PROG	clean-COP
cold-COP/PROG	cold-COP
cold/thirsty-COP/PROG	cold/thirsty-COP
dark-COP/PROG	dark-COP
dirty-COP/PROG	dirty-COP
dry-COP/PROG	dry-COP
early-COP/PROG	early-COP
exceed/bad-COP/PROG	exceed/bad-COP
fat-COP/PROG	fat-COP
full-COP/PROG	full-COP
gold-COP/PROG	gold-COP
good-COP/PROG	good-COP
good/clever-COP/PROG	good/clever-COP
green-COP/PROG	green-COP
happy-COP/PROG	happy-COP
hard-COP/PROG	hard-COP
high-COP/PROG	high-COP
hot-COP/PROG	hot-COP
kind-COP/PROG	kind-COP
late-COP/PROG	late-COP
light-COP/PROG	light-COP
long-COP/PROG	long-COP
low-COP/PROG	low-COP
new-COP/PROG	new-COP
new/now-COP/PROG	new-COP
old-COP/PROG	old-COP
old/big-COP/PROG	old/big-COP
only/good-COP/PROG	good-COP
poor-COP/PROG	poor-COP
red-COP/PROG	red-COP
rich-COP/PROG	rich-COP
short-COP/PROG	short-COP
small-COP/PROG	small-COP
smooth-COP/PROG	smooth-COP
sour-COP/PROG	sour-COP
strong-COP/PROG	strong-COP
sweet-COP/PROG	sweet-COP
thin-COP/PROG	thin-COP
tired-COP/PROG	tired-COP
weak-COP/PROG	weak-COP
wet-COP/PROG	wet-COP
white-COP/PROG	white-COP
wide-COP/PROG	wide-COP
yellow-COP/PROG	yellow-COP
young/brave/handsome-COP/PROG	young/brave/handsome-COP
become.big/big-COP/PROG	big-COP
turn.around/far-COP/PROG	far-COP
apply/get.closer-take/NEG-COP/PROG	apply/get.closer-NEG-PROG
hall-REM/2SG.PRES/2SG/INDEF/CAUS	hall-REM/INDEF
day-1SG/LOC	day-LOC
with/at/fear-DEF	with/at-DEF
car-LOC/1SG	car-LOC
girl-1SG/LOC	girl-1SG/LOC
do-1SG/LOC	do-1SG
non.Dom.man-1PL/NEG/OBL.PL/DEF	non.Dom.man-OBL.PL/DEF
skin-PRES/2SG.PRES/PL	skin-PRES
dress-3SG/2PL/OBL.SG/2PL.IMP	dress-3SG/OBL.SG
day-3SG/2PL/OBL.SG/2PL.IMP	day-3SG/OBL.SG
car-3SG/2PL/OBL.SG/2PL.IMP	car-3SG/OBL.SG
be.angry/inside-BEN	inside-BEN
family-GEN/M/OBL.SG	family-GEN/OBL.SG
PRES/2SG.PRES/PL-ABL	PL-ABL
apply/get.closer-take/NEG	apply/get.closer-NEG
-LOC/1SG-COP/PROG	-LOC-COP
period-REM/2SG/INDEF/CAUS	period-REM/INDEF
building-REM/2SG/INDEF/CAUS	building-REM/INDEF
house-3SG/2PL/OBL.SG/2PL.IMP	house-3SG/OBL.SG
Lebanon-1SG/LOC	Lebanon-LOC
good/beautiful-REM/2SG/INDEF/CAUS	good/beautiful-REM/INDEF
house-REM/2SG/INDEF/CAUS	house-REM/INDEF
period-REM/2SG/INDEF/CAUS	period-REM/INDEF
we-COP/PROG	we-COP
do/make/FUT-PROG	do/make-PROG
ticket-REM/2SG/INDEF/CAUS	ticket-REM/INDEF
year-REM/2SG/INDEF/CAUS	year-REM/INDEF
say/good-3PL	say-3PL
say/good-2PL	say-2PL
say/good-1PL	say-1PL
say/good-3SG	say-3SG
say/good-2SG	say-2SG
say/good-1SG	say-1SG
week-REM/2SG/INDEF/CAUS	 week-REM/INDEF
ticket-3SG/2PL/OBL.SG/2PL.IMP	ticket-3SG/OBL.SG
Algeria-1SG/LOC	Algeria-LOC
Lebanon-1SG/LOC	Lebanon-LOC
Egypt-1SG/LOC	Egypt-LOC
1SG/LOC-COP/PROG	LOC-COP
first-1SG/LOC	first-LOC
Algeria-1SG/LOC	Algeria-LOC
turn.around/far-VITR	turn.around-VITR
country-REM/2SG/INDEF/CAUS	country-REM/INDEF
border-3SG/2PL/OBL.SG/2PL.IMP	border-3SG/OBL.SG
I-COP/PROG	I-COP
SG-1SG-REM/2SG/INDEF/CAUS	SG-1SG-REM/INDEF
SG-3SG-REM/2SG/INDEF/CAUS	SG-3SG-REM/INDEF
SG-2SG-REM/2SG/INDEF/CAUS	SG-2SG-REM/INDEF
PL-1SG-REM/2SG/INDEF/CAUS	PL-1SG-REM/INDEF
PL-3SG-REM/2SG/INDEF/CAUS	PL-3SG-REM/INDEF
PL-2SG-REM/2SG/INDEF/CAUS	PL-2SG-REM/INDEF
SG-1PL-REM/2SG/INDEF/CAUS	SG-1PL-REM/INDEF
SG-3PL-REM/2SG/INDEF/CAUS	SG-3PL-REM/INDEF
SG-2PL-REM/2SG/INDEF/CAUS	SG-2PL-REM/INDEF
PL-1PL-REM/2SG/INDEF/CAUS	PL-1PL-REM/INDEF
PL-3PL-REM/2SG/INDEF/CAUS	PL-3PL-REM/INDEF
PL-2PL-REM/2SG/INDEF/CAUS	PL-2PL-REM/INDEF
way-3SG/2PL/OBL.SG/2PL.IMP	way-3SG/OBL.SG
village/two year	two year
residence-3SG/2PL/OBL.SG/2PL.IMP	residence-3SG/OBL.SG
torment-3SG/2PL/OBL.SG/2PL.IMP	torment-3SG/OBL.SG
work/thing-PRES/2SG.PRES/PL	work/thing-PRES/PL
LOC-COP/PROG	LOC-COP
INDEF-PRES/2SG.PRES/PL	INDEF-PRES
week-REM/2SG/INDEF/CAUS	week-REM/INDEF
country-REM/2SG/INDEF/CAUS	country-REM/INDEF
border-3SG/2PL/OBL.SG/2PL.IMP	border-3SG/OBL.SG
torture/tired-PFV	tired-PFV
India-COP/PROG	India-COP
flee-2SG/3SG	flee-3SG
village/two hundred	two hundred
village/two thousand	two thousand
one-1PL/NEG/OBL.PL/DEF	one-OBL.PL
thousand-1SG/LOC	thousand-LOC
Dom-REM/2SG/INDEF/CAUS	Dom-REM/INDEF
language-3SG/2PL/OBL.SG/2PL.IMP	language-3SG/OBL.SG
Dom-COP/PROG	Dom-COP
Dom-PRES/2SG.PRES/PL	Dom-PRES/PL
