-à	-GEN/M/OBL.SG
-os-imaa	-3SG-1PL
-os-imaan	-3SG-1PL
-os-ir	-3SG-2SG
-os-iraa	-3SG-2PL
-os-iraan	-3SG-2PL
-os-is	-3SG-3SG
-os-isaa	-3SG-3PL
-os-isaan	-3SG-3PL
-r	-3SG
-r-à	-PFV-3SG
-r-aa	-PFV-REM
-l-aa	-PFV-REM
-r-ee	-3SG-PRES/-PFV-PRES
-r-een	-PFV-1PL
-r-een-aa	-PFV-1PL-REM
-r-een-ee	-PFV-1PL-PRES
-r-eend	-PFV-3PL
-l-eend	-PFV-3PL
-r-eend-aa	-PFV-3PL-REM
-r-eend-ee	-PFV-3PL-PRES
-r-eend-is	-PFV-3PL-3SG
-r-eend-is-ee	-PFV-3PL-3SG-PRES
-r-eend-ir-ee	-PFV-3PL-2SG-PRES
-r-eend-im-ee	-PFV-3PL-1SG-PRES
-r-eend-imaa	-PFV-3PL-1PL
-r-ees	-PFV-2PL
-r-ees-aa	-PFV-2PL-REM
-r-im-aa	-3SG-1SG-REM
-r-im-ee	-3SG-1SG-PRES
-r-imaa	-3SG-1PL
-r-imaan-aa	-3SG-1PL-REM
-r-imaan-ee	-3SG-1PL-PRES
-r-ir-aa	-3SG-2SG-REM
-r-ir-ee	-3SG-2SG-PRES
-r-iraan-aa	-3SG-2PL-REM
-r-iraan-ee	-3SG-2PL-PRES
-r-is	-3SG-3SG
-r-is-aa	-3SG-3SG-REM
-r-is-ee	-3SG-3SG-PRES
-r-s-ee	-3SG-3SG-PRES
-r-isaan-aa	-3SG-3PL-REM
-r-isaan-ee	-3SG-3PL-PRES
-r-om	-PFV-1SG
-r-om-aa	-PFV-1SG-REM
-r-om-ee	-PFV-1SG-PRES
-r-oom-ee	-PFV-1SG-PRES
-r-or	-PFV-2SG
-r-or-aa	-PFV-2SG-REM
-r-or-ee	-PFV-2SG-PRES
-r-or-is	-PFV-2SG-3SG
-r-os	-PFV-3SG
-r-os-ee	-PFV-3SG-PRES
-r-os-im	-PFV-3SG-1SG
-r-os-ir	-PFV-3SG-2SG
-r-os-is	-PFV-3SG-3SG
-r-os-saa	-PFV-3SG-3PL
-r-os-saan-ee	-PFV-3SG-3PL-PRES
-r-os-saan-aa	-PFV-3SG-3PL-REM
-r-os-imaa	-PFV-3SG-1PL
-r-os-iraa	-PFV-3SG-2PL
-r-os-isaa	-PFV-3SG-3PL
-r-os-imaan	-PFV-3SG-1PL
-r-os-iraan	-PFV-3SG-2PL
-r-os-isaan	-PFV-3SG-3PL
-r-os-im-ee	-PFV-3SG-1SG-PRES
-r-os-ir-ee	-PFV-3SG-2SG-PRES
-r-os-is-ee	-PFV-3SG-3SG-PRES
-r-os-imaan-ee	-PFV-3SG-1PL-PRES
-r-os-iraan-ee	-PFV-3SG-2PL-PRES
-r-os-isaan-ee	-PFV-3SG-3PL-PRES
-r-os-im-aa	-PFV-3SG-1SG-REM
-r-os-ir-aa	-PFV-3SG-2SG-REM
-r-os-is-aa	-PFV-3SG-3SG-REM
-r-os-imaan-aa	-PFV-3SG-1PL-REM
-r-os-iraan-aa	-PFV-3SG-2PL-REM
-r-os-isaan-aa	-PFV-3SG-3PL-REM
-raa	-VOC
-rd-à	-PFV-3SG
-rd-aa	-PFV-REM
-rd-een	-PFV-1PL
-rd-een-ee	-PFV-1PL-PRES
-rd-een-aa	-PFV-1PL-REM
-rd-een-ir	-PFV-1PL-2SG
-rd-een-ir-aa	-PFV-1PL-2SG-REM
-rd-een-ir-ee	-PFV-1PL-2SG-PRES
-rd-een-iraa	-PFV-1PL-2PL
-rd-een-iraan	-PFV-1PL-2PL
-rd-een-iraan-aa	-PFV-1PL-2PL-REM
-rd-een-iraan-ee	-PFV-1PL-2PL-PRES
-rd-een-is	-PFV-1PL-3SG
-rd-een-is-aa	-PFV-1PL-3SG-REM
-rd-een-is-ee	-PFV-1PL-3SG-PRES
-rd-een-isaa	-PFV-1PL-3PL
-rd-een-isaan	-PFV-1PL-3PL
-rd-een-isaan-aa	-PFV-1PL-3PL-REM
-rd-een-isaan-ee	-PFV-1PL-3PL-PRES
-rd-eend	-PFV-3PL
-rd-eend-aa	-PFV-3PL-REM
-rd-eend-im	-PFV-3PL-1SG
-rd-eend-im-aa	-PFV-3PL-1SG-REM
-rd-eend-im-ee	-PFV-3PL-1SG-PRES
-rd-eend-imaa	-PFV-3PL-1PL
-rd-eend-imaan	-PFV-3PL-1PL
-rd-eend-imaan-aa	-PFV-3PL-1PL-REM
-rd-eend-imaan-ee	-PFV-3PL-1PL-PRES
-rd-eend-ir	-PFV-3PL-2SG
-rd-eend-ir-aa	-PFV-3PL-2SG-REM
-rd-eend-ir-ee	-PFV-3PL-2SG-PRES
-rd-eend-iraa	-PFV-3PL-2PL
-rd-eend-iraan	-PFV-3PL-2PL
-rd-eend-iraan-aa	-PFV-3PL-2PL-REM
-rd-eend-iraan-ee	-PFV-3PL-2PL-PRES
-rd-eend-is	-PFV-3PL-3SG
-rd-eend-is-aa	-PFV-3PL-3SG-REM
-rd-eend-is-ee	-PFV-3PL-3SG-PRES
-rd-eend-isaa	-PFV-3PL-3PL
-rd-eend-isaan	-PFV-3PL-3PL
-rd-eend-isaan-aa	-PFV-3PL-3PL-REM
-rd-eend-isaan-ee	-PFV-3PL-3PL-PRES
-rd-ees	-PFV-2PL
-rd-ee	-PFV-PRES
-rd-ees-aa	-PFV-2PL-REM
-rd-ees-im	-PFV-2PL-1SG
-rd-ees-im-aa	-PFV-2PL-1SG-REM
-rd-ees-im-ee	-PFV-2PL-1SG-PRES
-rd-ees-imaa	-PFV-2PL-1PL
-rd-ees-imaan	-PFV-2PL-1PL
-rd-ees-imaan-aa	-PFV-2PL-1PL-REM
-rd-ees-imaan-ee	-PFV-2PL-1PL-PRES
-rd-ees-iraa	-PFV-2PL-2PL
-rd-ees-iraan	-PFV-2PL-1PL
-rd-ees-iraan-aa	-PFV-2PL-1PL-REM
-rd-ees-iraan-ee	-PFV-2PL-1PL-PRES
-rd-ees-is	-PFV-2PL-3SG
-rd-ees-is-aa	-PFV-2PL-3SG-REM
-rd-ees-is-ee	-PFV-2PL-3SG-PRES
-is-isaan-aa	-2PL-3PL-REM
-is-isaa-aa	-2PL-3PL-REM
-is-isaan-ee	-2PL-3PL-PRES
-is-isaa-ee	-2PL-3PL-PRES
-is-isaan	-2PL-3PL
-is-isaa	-2PL-3PL
-rd-om	-PFV-1SG
-rd-om-aa	-PFV-1SG-REM
-rd-om-ee	-PFV-1SG-PRES
-rd-om-ir	-PFV-1SG-2SG
-rd-om-ir-aa	-PFV-1SG-2SG-REM
-rd-om-ir-ee	-PFV-1SG-2SG-PRES
-rd-om-iraa	-PFV-1SG-2PL
-rd-om-iraan	-PFV-1SG-2PL
-rd-om-iraan-aa	-PFV-1SG-2PL-REM
-rd-om-iraan-ee	-PFV-1SG-2PL-PRES
-rd-om-is	-PFV-1SG-3SG
-rd-om-is-aa	-PFV-1SG-3SG-REM
-rd-om-is-ee	-PFV-1SG-3SG-PRES
-rd-om-isaa	-PFV-1SG-3PL
-rd-om-isaan	-PFV-1SG-3PL
-rd-om-isaan-aa	-PFV-1SG-3PL-REM
-rd-om-isaan-ee	-PFV-1SG-3PL-PRES
-rd-or	-PFV-2SG
-rd-or-im	-PFV-2SG-1SG
-rd-or-im-aa	-PFV-2SG-1SG-REM
-rd-or-im-ee	-PFV-2SG-1SG-PRES
-rd-or-imaa	-PFV-2SG-1PL
-rd-or-imaan	-PFV-2SG-1PL
-rd-or-imaan-aa	-PFV-2SG-1PL-REM
-rd-or-imaan-ee	-PFV-2SG-1PL-PRES
-rd-or-is	-PFV-2SG-3SG
-rd-or-is-aa	-PFV-2SG-3SG-REM
-rd-or-is-ee	-PFV-2SG-3SG-PRES
-rd-or-isaa	-PFV-2SG-3PL
-rd-or-isaan	-PFV-2SG-3PL
-rd-or-isaan-aa	-PFV-2SG-3PL-REM
-rd-or-isaan-ee	-PFV-2SG-3PL-PRES
-rd-os	-PFV-3SG
-rd-is-aa	-PFV-3SG-REM
-rd-os-im	-PFV-3SG-1SG
-rd-os-im-aa	-PFV-3SG-1SG-REM
-rd-os-im-ee	-PFV-3SG-1SG-PRES
-rd-os-imaa	-PFV-3SG-1PL
-rd-os-imaan	-PFV-3SG-1PL
-rd-os-imaan-aa	-PFV-3SG-1PL-REM
-rd-os-imaan-ee	-PFV-3SG-1PL-PRES
-rd-os-ir	-PFV-3SG-2SG
-rd-os-ir-aa	-PFV-3SG-2SG-REM
-rd-os-ir-ee	-PFV-3SG-2SG-PRES
-rd-os-iraa	-PFV-3SG-2PL
-rd-os-iraan	-PFV-3SG-2PL
-rd-os-iraan-aa	-PFV-3SG-2PL-REM
-rd-os-iraan-ee	-PFV-3SG-2PL-PRES
-rd-os-is	-PFV-3SG-3SG
-rd-os-is-aa	-PFV-3SG-3SG-REM
-rd-os-is-ee	-PFV-3SG-3SG-PRES
-rd-os-isaa	-PFV-3SG-3PL
-rd-os-isaan	-PFV-3SG-3PL
-rd-os-isaan-aa	-PFV-3SG-3PL-REM
-rd-os-isaan-ee	-PFV-3SG-3PL-PRES
-rd-os-s	-PFV-3SG-3SG
-rd-os-s-aa	-PFV-3SG-3SG-REM
-rd-os-s-ee	-PFV-3SG-3SG-PRES
-os-s-ee	-3SG-3SG-PRES
-s	-3SG/2PL/OBL.SG/2PL.IMP
-š-aa	-SUBJ/PROG-2SG
-š-aa-ee	-SUBJ/PROG-2SG-PRES
-š-ee	-SUBJ/PROG-PRES
-š-im	-SUBJ/PROG-1SG
-š-im-ee	-SUBJ/PROG-1SG-PRES
-š-im-aa	-SUBJ/PROG-1SG-REM
-š-in	-SUBJ/PROG-1PL
-š-n-ee	-SUBJ/PROG-1PL-PRES
-š-n-aa	-SUBJ/PROG-1PL-REM
-š-in-ee	-SUBJ/PROG-1PL-PRES
-š-in-aa	-SUBJ/PROG-1PL-REM
-š-ind	-SUBJ/PROG-3PL
-š-ind-ee	-SUBJ/PROG-3PL-PRES
-š-ind-aa	-SUBJ/PROG-3PL-REM
-š-ir	-SUBJ/PROG-3SG
-š-ir-ee	-SUBJ/PROG-3SG-PRES
-š-ir-aa	-SUBJ/PROG-3SG-REM
-š-is	-SUBJ/PROG-2PL
-š-is-ee	-SUBJ/PROG-2PL-PRES
-š-is-aa	-SUBJ/PROG-2PL-REM
-sa	-COND/SOC
-saa	-SOC/COND/3PL
-saan	-3PL
-see	-2PL.PRES
-šii	-too
-sii	-too
-ši	-too
-šš-aa	-SUBJ-2SG
-šš-aa-ee	-SUBJ-2SG-PRES
-šš-im	-SUBJ-1SG
-šš-im-ee	-SUBJ-1SG-PRES
-šš-in	-SUBJ-1PL
-šš-in-ee	-SUBJ-1PL-PRES
-šš-ind	-SUBJ-3PL
-šš-ind-ee	-SUBJ-3PL-PRES
-šš-ir	-SUBJ-3SG
-šš-ir-ee	-SUBJ-3SG-PRES
-šš-is	-SUBJ-2PL
-šš-is-ee	-SUBJ-2PL-PRES
-ssa	-SOC/COND
-št	-COP/PROG
-št-aa	-COP/PROG-REM
-št-ee	-COP/PROG-PRES
-št-im-ir-aa	-PROG-1SG-2SG-REM
-št-im-ir-ee	-PROG-1SG-2SG-PRES
-št-im-iraan-aa	-PROG-1SG-2PL-REM
-št-im-iraan-ee	-PROG-1SG-2PL-PRES
-št-im-is-aa	-PROG-1SG-3SG-REM
-št-im-is-ee	-PROG-1SG-3SG-PRES
-št-im-isaan-aa	-PROG-1SG-3PL-REM
-št-im-isaan-ee	-PROG-1SG-3PL-PRES
-št-im-r-aa	-PROG-1SG-2SG-REM
-št-im-r-ee	-PROG-1SG-2SG-PRES
-št-im-raan-aa	-PROG-1SG-2PL-REM
-št-im-raan-ee	-PROG-1SG-2PL-PRES
-št-im-s-aa	-PROG-1SG-3SG-REM
-št-im-s-ee	-PROG-1SG-3SG-PRES
-št-im-saan-aa	-PROG-1SG-3PL-REM
-št-im-saan-ee	-PROG-1SG-3PL-PRES
-št-ind	-COP/PROG-3PL
-št-ind-aa	-COP/PROG-3PL-REM
-št-ind-ee	-COP/PROG-3PL-PRES
-št-ind-im-aa	-PROG-3PL-1SG-REM
-št-ind-im-ee	-PROG-3PL-1SG-PRES
-št-ind-imaan-aa	-PROG-3PL-1PL-REM
-št-ind-imaan-ee	-PROG-3PL-1PL-PRES
-št-ind-ir-aa	-PROG-3PL-2SG-REM
-št-ind-ir-ee	-PROG-3PL-2SG-PRES
-št-ind-iraan-aa	-PROG-3PL-2PL-REM
-št-ind-iraan-ee	-PROG-3PL-2PL-PRES
-št-ind-is-aa	-PROG-3PL-3SG-REM
-št-ind-is-ee	-PROG-3PL-3SG-PRES
-št-ind-isaan-aa	-PROG-3PL-3PL-REM
-št-ind-isaan-ee	-PROG-3PL-3PL-PRES
-št-inn	-COP/PROG-1PL
-št-inn-aa	-COP/PROG-1PL-REM
-št-inn-ee	-COP/PROG-1PL-PRES
-št-ir	-PROG-3SG
-št-ir-im-aa	-PROG-3SG-1SG-REM
-št-ir-im-ee	-PROG-3SG-1SG-PRES
-št-ir-imaan-aa	-PROG-3SG-1PL-REM
-št-ir-imaan-ee	-PROG-3SG-1PL-PRES
-št-ir-ir-aa	-PROG-3SG-2SG-REM
-št-ir-ir-ee	-PROG-3SG-2SG-PRES
-št-ir-iraan-aa	-PROG-3SG-2PL-REM
-št-ir-iraan-ee	-PROG-3SG-2PL-PRES
-št-ir-is-aa	-PROG-3SG-3SG-REM
-št-ir-is-ee	-PROG-3SG-3SG-PRES
-št-ir-isaan-aa	-PROG-3SG-3PL-REM
-št-ir-isaan-ee	-PROG-3SG-3PL-PRES
-št-ir-m-aa	-PROG-3SG-1SG-REM
-št-ir-m-ee	-PROG-3SG-1SG-PRES
-št-ir-maan-aa	-PROG-3SG-1PL-REM
-št-ir-maan-ee	-PROG-3SG-1PL-PRES
-št-ir-r-aa	-PROG-3SG-2SG-REM
-št-ir-r-ee	-PROG-3SG-2SG-PRES
-št-ir-raan-aa	-PROG-3SG-2PL-REM
-št-ir-raan-ee	-PROG-3SG-2PL-PRES
-št-ir-s-aa	-PROG-3SG-3SG-REM
-št-ir-s-ee	-PROG-3SG-3SG-PRES
-št-ir-saan-aa	-PROG-3SG-3PL-REM
-št-ir-saan-ee	-PROG-3SG-3PL-PRES
-št-is-m	-PROG-3SG-1SG
-št-is-m-aa	-PROG-3SG-1SG-REM
-št-is-m-ee	-PROG-3SG-1SG-PRES
-št-is-maan	-PROG-3SG-1PL
-št-is-maan-aa	-PROG-3SG-1PL-REM
-št-is-maan-ee	-PROG-3SG-1PL-PRES
-št-is-r	-PROG-3SG-2SG
-št-is-r-aa	-PROG-3SG-2SG-REM
-št-is-r-ee	-PROG-3SG-2SG-PRES
-št-is-raan	-PROG-3SG-2PL
-št-is-raan-aa	-PROG-3SG-2PL-REM
-št-is-raan-ee	-PROG-3SG-2PL-PRES
-št-is-s	-PROG-3SG-3SG
-št-is-s-aa	-PROG-3SG-3SG-REM
-št-is-s-ee	-PROG-3SG-3SG-PRES
-št-is-saan	-PROG-3SG-3PL
-št-is-saan-aa	-PROG-3SG-3PL-REM
-št-is-saan-ee	-PROG-3SG-3PL-PRES
-št-iss	-COP/PROG-2PL
-št-iss-aa	-COP/PROG-2PL-REM
-št-iss-ee	-COP/PROG-2PL-PRES
-št-m-ir-aa	-PROG-1SG-2SG-REM
-št-m-ir-ee	-PROG-1SG-2SG-PRES
-št-m-iraan-aa	-PROG-1SG-2PL-REM
-št-m-iraan-ee	-PROG-1SG-2PL-PRES
-št-m-is-aa	-PROG-1SG-3SG-REM
-št-m-is-ee	-PROG-1SG-3SG-PRES
-št-m-isaan-aa	-PROG-1SG-3PL-REM
-št-m-isaan-ee	-PROG-1SG-3PL-PRES
-št-om	-COP/PROG-1SG
-št-om-aa	-COP/PROG-1SG-REM
-št-om-ee	-COP/PROG-1SG-PRES
-št-om-ir-aa	-PROG-1SG-2SG-REM
-št-om-ir-ee	-PROG-1SG-2SG-PRES
-št-om-iraan-aa	-PROG-1SG-2PL-REM
-št-om-iraan-ee	-PROG-1SG-2PL-PRES
-št-om-is-aa	-PROG-1SG-3SG-REM
-št-om-is-ee	-PROG-1SG-3SG-PRES
-št-om-isaan-aa	-PROG-1SG-3PL-REM
-št-om-isaan-ee	-PROG-1SG-3PL-PRES
-št-om-r-aa	-PROG-1SG-2SG-REM
-št-om-r-ee	-PROG-1SG-2SG-PRES
-št-om-raan-aa	-PROG-1SG-2PL-REM
-št-om-raan-ee	-PROG-1SG-2PL-PRES
-št-om-s-aa	-PROG-1SG-3SG-REM
-št-om-s-ee	-PROG-1SG-3SG-PRES
-št-om-saan-aa	-PROG-1SG-3PL-REM
-št-om-saan-ee	-PROG-1SG-3PL-PRES
-št-or	-COP/PROG-2SG
-št-or-aa	-COP/PROG-2SG-REM
-št-or-ee	-COP/PROG-2SG-PRES
-št-or-im	-PROG-2SG-1SG
-št-or-im-aa	-PROG-2SG-1SG-REM
-št-or-im-ee	-PROG-2SG-1SG-PRES
-št-or-imaa	-PROG-2SG-1PL
-št-or-imaan	-PROG-2SG-1PL
-št-or-imaan-aa	-PROG-2SG-1PL-REM
-št-or-imaan-ee	-PROG-2SG-1PL-PRES
-št-or-is	-PROG-2SG-3SG
-št-or-is-aa	-PROG-2SG-3SG-REM
-št-or-is-ee	-PROG-2SG-3SG-PRES
-št-or-isaa	-PROG-2SG-3PL
-št-or-isaan	-PROG-2SG-3PL
-št-or-isaan-aa	-PROG-2SG-3PL-REM
-št-or-isaan-ee	-PROG-2SG-3PL-PRES
-št-or-m-aa	-PROG-2SG-1SG-REM
-št-or-m-ee	-PROG-2SG-1SG-PRES
-št-or-maan-aa	-PROG-2SG-1PL-REM
-št-or-maan-ee	-PROG-2SG-1PL-PRES
-št-or-s-aa	-PROG-2SG-3SG-REM
-št-or-s-ee	-PROG-2SG-3SG-PRES
-št-or-saan-aa	-PROG-2SG-3PL-REM
-št-or-saan-ee	-PROG-2SG-3PL-PRES
-št-r-im-aa	-PROG-3SG-1SG-REM
-št-r-im-ee	-PROG-3SG-1SG-PRES
-št-r-imaan-aa	-PROG-3SG-1PL-REM
-št-r-imaan-ee	-PROG-3SG-1PL-PRES
-št-r-ir-aa	-PROG-3SG-2SG-REM
-št-r-ir-ee	-PROG-3SG-2SG-PRES
-št-r-iraan-aa	-PROG-3SG-2PL-REM
-št-r-iraan-ee	-PROG-3SG-2PL-PRES
-št-r-is-aa	-PROG-3SG-3SG-REM
-št-r-is-ee	-PROG-3SG-3SG-PRES
-št-r-isaan-aa	-PROG-3SG-3PL-REM
-št-r-isaan-ee	-PROG-3SG-3PL-PRES
-t	-DAT
-t-à	-PFV-3SG
-it-à	-PFV-3SG
-t-aa	-PFV-REM
-t-een	-PFV-1PL
-t-eenaa	-PFV-1PL-REM
-t-eend	-PFV-3PL
-eend	-3PL
-eend-aa	-3PL-REM
-eend-ee	-3PL-PRES
-eend-imaa	-3PL-1PL
-eend-is	-3PL-3SG
-t-eend-aa	-PFV-3PL-REM
-t-ees	-PFV-2PL
-t-ees-aa	-PFV-2PL-REM
-t-om	-PFV-1SG
-t-om-aa	-PFV-1SG-REM
-t-or	-PFV-2SG
-t-or-aa	-PFV-2SG-REM
-t-os	-PFV-3SG
-t-ind	-PFV-3PL
-ta	-DAT
-tà	-DAT
-ttà	-DAT
-tar	-COMP
-tii	-2SG.IMP
-itii	-2SG.IMP
-tt-à	-PFV-3SG
-tt-aa	-PFV-REM
-tt-een	-PFV-1PL
-tt-een-aa	-PFV-1PL-REM
-tt-eend	-PFV-3PL
-tt-eend-aa	-PFV-3PL-REM
-tt-ees	-PFV-2PL
-tt-ees-aa	-PFV-2PL-REM
-tt-om	-PFV-1SG
-tt-om-aa	-PFV-1SG-REM
-tt-or	-PFV-2SG
-tt-or-aa	-PFV-2SG-REM
-va	-VERS
-vaa	-VERS
-vaar	-SIM
-ivaar	-SIM
-ya	-INDEF
-yaa	-VITR/INDEF/3PL/REM/and/2SG
-yaa-r-ee	-VITR-3SG-PRES
-yaa-r-aa	-VITR-3SG-REM
-yaan	-3PL
-yee	-PRES
-yi	-OBL.SG
-yiin	-PL
-yin	-OBL.PL
-yiš	-DER
-yis	-3SG/2PL/OBL.SG/2PL.IMP
,	**
:	**
!	**
?	**
.	**
!?	**
aaġa	master
aal	instrument
aalà	instrument
aalee	instrument
aamin	believe
aamin-	believe
aan	egg
ààn	end/most
aan-	bring
aan	bring
aann-	bring
aanà	egg
aansee	female.teacher
aanseey	female.teacher
aar-	between
ààr-	between
ààr-osaa	between-3PL
ààr-osaan	between-3PL
ààr	between
aaree	yes
aree	yes
aaṭ	flour
aaṭà	flour
aaṭee	flour
aav-	come
aam-	come
aa-	come
aa-mm-aa	come-1SG-REM
aaviččis	you.all.come
aaviin	mirror
aaviinà	mirror
aaviindà	the.coming
aaviinee	mirror
aaxir	end
aaxirč	last
aaxirčim	at.last
ab-	for
ab-om	for-1SG
ab-omaa	for-1PL
ab-omaan	for-1PL
ab-or	for-2SG
ab-oraa	for-2PL
ab-oraan	for-2PL
ab-os	for-3SG
ab-osaa	for-3PL
ab-osaan	for-3PL
-osaa	-3PL
-osaan	-2PL
abadan	never
abo-	for
abom	for.me
abomaa	for.us
abor	for.you.SG
aboraa	for.you.PL
abos	for.him
afḍal	better
ag	fire
agor	horse
agorà	horse
aḥad	Sunday
ahil	family
ahl	family
aḥla	nicer
ahliiy	relations
aḥsan	better
aḥyaanan	sometimes
aḥyaan	sometimes
aj	today
ajà	today
ajjir-	rent
ajnab	foreigner
ajnabii	foreign
ajokà	today's.smt
ajontii	today
ajotii	today
ajotiinii	today
akaan	awake
akaan-	wake.up
akaanr-	wake.up
akan	farm
aki-	wait
akii	eye
aky	eye
akii-	wait
akiid	of.course
akk	eye
aklaat	candy
aktar	more
alčaaġ	low
alf	thousand
alif	thousand
alkee	lie
allah	God
allahà	for.the.God
allii	REL
almaanyaa	Germany
almohom	importantly
amaa	1SG
amaa-	1SG
amaakaašii	at.me.too
amaan	safety
amaariin	1PL
amaas	I.REFL
maas	I.REFL
ameen	I.EMPH
meen	I.EMPH
-en	EMPH
amiin	1PL
miin	1PL
amiiš-	descent
miiš-	descent
amiš-	descent
miš-	descent
amišo-	descent
ammat	people
amriikyaa	america
aneehaanii	like.this
aniišik	elbow
aqal	less
aqalla	less
aqallaššii	at.least
aqil	brain
aqqor	nut
aqrab	closest
araa	boy.VOC
araaṭ	night
arbaḥ	lucrative
arbiiʕaayà	Wednesday
arčiq-	smash
arḍ	earth
arj	early.morning
arzaan	cheep
aš-ee	there.is-PRES
asaas	base
aṣil	origin
aškara	clear
aškaraa	clear
aṣl	origin
asmar	dark
ašqar	blond
asraʕ	faster
ašt-	there.is
ašt-aa	there.is-REM
ašt-ee	there.is-PRES
aštee	there.is
avindà	arrival
awaṣaar	summer
away	yes
awqaat	sometimes
awwal	first
awwaal	first
awal	first
awaal	first
awwalan	firstly
awwalii	past
awaalii	past
axar	stream
axḍar	green
axxir	late
axxir-	be.late
ay-	come
ayaẓ	star
ayba	dad.VOC
aybaa	dad.VOC
ayda	mom.VOC
ayyaa	any
ayya	any
aza	if
aẓin	I.think
azraq	blue
b-	with/at/fear-
bààb	father
bààbee	father
bààboraa	your.father
baajaan	aubergine
baalv	bracelet
baalvà	bracelet
baanjaan	aubergine
bààr	bar
baar	brother
baar-	outside
baarà	outside
baaṣ	bus
baaṣ-	at
baaṣ-yaa	at-3PL
baaṣ-ii	at-3SG
baaṣ-om	at-1SG
baaṣ-or	at-2SG
baaṣ-omaa	at-1PL
baaṣ-oraa	at-2PL
baaṣ-omaan	at-1PL
baaṣ-oraan	at-2PL
baašilġ	dowry
baašliġ	dowry
baaṭron	trousers
baav	portion
baavlà	bracelet
baaẓaar	weekend
baaẓaarintà	on.the.weekends/on.fridays
babbor	heater
badaal	instead
baddil-	change
baḍʕà	goods
bahdal-	humiliate
bahdil-	humiliate
bahdir-	humiliate
baḥr-	sea
baḥr	sea
bakir	sheep
bakr	sheep
bakkiir	early
bala	let
balamaʕna	meaningless
baljiika	Belgium
baljiikya	Belgium
baljiikyaa	Belgium
balliš-	start
bališ-	start
ballor	glass
ban	shut
ban-	shut
banḍuura	tomato
banj-	break
banjii-	be.broken
bar-	travel
barakà	blessing
bard	full
bard-	full
barḍà	full
barḍ-	full
barfuubaaraan	thunderstorm
barfobaaraan	thunderstorm
bariid	postcard
barraakiiy	tent
barraakiiyà	tent
barraakiiyee	tent
bas	but/enough/only
bašar-	skin
bašarà	skin
baṣiiṭ	simple
bassee	enough
baṭaaṭà	popato
baṭaaṭee	potato
baṭṭaa	goose
baṭṭaaniiy	blanket
baṭṭaaniiyà	blanket
baṭṭaaniiyee	blanket
baṭṭaaniiyyee	blanket
baṭṭaaniy	blanket
baxšiiš	tip
bayyaaʕ	seller
baʕḍ-	same
baʕḍo	same
baʕdeen	after
baʕdeend	after
baʕid	after
baʕiḍ	some
baʕidma	after
baʕadma	after
baʕidmaa	after
baʕadmaa	after
bdee	give
bdee-	give
bidy-	give
bdiilà	exchange
bdunmaa	without
bduunma	without
bduunmaa	without
beefkà	other
beefkii	other
beelii	friend
beely	friend
been	sister
beevkà	other
bi-	with/at/fear-
bidʕa	heresy
bii-	fear-
biibii	aunt
biiby	aunt
biir	mind
biiraa	beer
biiš	fear
bijib	with.tonque
bijj-	give
bil	hip
bil-	in
bil’ajaar	rented
bilaxiir	finally
axiir	end
bilḥaqiiqa	realistically
leel	night
biltawaaṣiil	consecutively
bilʕaadee	normally
bimil	expensive
binnisbee	acording
biqwat	strong
birjuuʕ	in.return
bis	straw
biskilleet	bicycle
bissalaamee	safely
bissaalaamee	safely
biyaa-	be.scared.of
bizmaar	nails(metals)
biẓẓabit	exactly
biẓẓabiṭ	exactly
biẓẓabit	exactly
biʕid	far
biʕiṣ-	finger
bkuun	maybe
blaav-	share
bliš-	feud
blš-	feud
bn-	under
bnà	under
bn-aa	under-REM
bn-om	under-1SG
bn-or	under-2SG
bn-os	under-3SG
bn-omaa	under-1PL
bn-omaan	under-1PL
bn-oraa	under-2PL
bn-oraan	under-2PL
bn-osaa	under-3PL
bn-osaan	under-3PL
bnaan	Lebanon
bnee	under
bojii	dog
bojj	dog
boj	dog
bol	wide
boš	for.nothing
boṭ	boot
boya	shoe-shining
boydaaġ	temporary
bribiʕ	quarterly
briin	wound
briin-	injure
briinj	rice
briinkar-	injure
bu	a.lot.of
buqwat	strong
buqwat-	strong
buttar	more.than
buu	much
buurii	tube
buut	a.lot
byaa-	fear
byaav-	fear
čaadir	thick.fabric
čaaġ	child
čaaġ-	child
čaaġà	child
čaaġa	child
čaaġee	child
čaaġvaayà	childhood
čaaġvaayaa	childhood
čaaġvaačč	childhood
čaakeet	jacket
čaakeetà	jacket
čaan	cheek
čaap	left
čaar	hide
čààr-	hide
čaaṭik	cloak
čaaṭk	cloak
čaay	tea
čakk-	strong/courageous/hard
čakkà	hard
čakkuuš	hammer
čanaq	saucer
čanč	next.to
čanč-	next.to
čanč-om	next.to-1SG
čanč-omaa	next.to-1PL
čanč-omaan	next.to-1PL
čanč-or	next.to-2SG
čanč-oraa	next.to-2PL
čanč-oraan	next.to-2PL
čanč-os	next.to-3SG
čanč-osaa	next.to-3PL
čanč-osaan	next.to-3PL
čanii	earring
čany	earring
čaniy	earring
čanṭaay	bag
čanṭaayà	bag
čany	earring
čap	left
čar-	drive
čatiin	difficult
čatiin-	difficult
čaynà	trousers
čayn	trousers
čaynee	trousers
čee	as.you.say/it.is.like
čeesik	boy
čeesk	boy
čeezik	boy
čiit	veil
čiknaa-	fasten
čil	fourty
čin-	cut/cross
čiri	knife
čirii	knife
čiry	knife
čišt-	say
čiṭ-	jump
